"amazon_sports_shirts_images","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/4bU4SP3","https://m.media-amazon.com/images/I/715d12hrMML._AC_SX466_.jpg","Camiseta","Pepe Jeans",NULL,"modelo_frente_izquierda"
"2","https://amzn.to/46oiQI4","https://m.media-amazon.com/images/I/71OllRTjPGL._AC_SX466_.jpg","Camiseta","Pepe Jeans",NULL,"modelo_frente_izquierda"
"3","https://amzn.to/3WxkVOr","https://m.media-amazon.com/images/I/81gq+HJ2CxL._AC_SX466_.jpg","Camiseta","Pepe Jeans",NULL,"modelo_frente_izquierda"
"4","https://amzn.to/4cPZmhD","https://m.media-amazon.com/images/I/31493cP3y0L._AC_SX569_.jpg","Camiseta","Pepe Jeans","14.95","frente"
"5","https://amzn.to/3ycyOs3","https://m.media-amazon.com/images/I/61buaL+kk1L._AC_SX569_.jpg","Camiseta","UNDER ARMOUR","16.19","frente"
"6","https://amzn.to/3WzDUrR","https://m.media-amazon.com/images/I/91HNpyLHTVL._AC_SX679_.jpg","Camiseta deportiva","NIKE","25.95","frente"
"7","https://amzn.to/4cSj3p4","https://m.media-amazon.com/images/I/41UGLFAAinL._AC_SX679_.jpg","Camiseta deportiva","UNDER ARMOUR","28.92","frente"
"8","https://amzn.to/3zSHsMJ","https://m.media-amazon.com/images/I/61P3pRjNWtL._AC_SX679_.jpg","Camiseta deportiva","UNDER ARMOUR","61.60","frente"
"9","https://amzn.to/46mWoz4","https://m.media-amazon.com/images/I/81WzSV1Ea7L._AC_SX679_.jpg","Camiseta deportiva","UNDER ARMOUR","29.35","frente"
"10","https://amzn.to/3Wgiqik","https://m.media-amazon.com/images/I/612gtxmjwdL._AC_SX679_.jpg","Camiseta deportiva","UNDER ARMOUR","26.99","frente"
"11","https://amzn.to/3LDYUqS","https://m.media-amazon.com/images/I/511mO6JOLTL._AC_SX679_.jpg","Camiseta deportiva","UNDER ARMOUR","61.60","frente"
"12","https://amzn.to/3y7mGsl","https://m.media-amazon.com/images/I/91cWpELfuvL._AC_SX569_.jpg","Camiseta deportiva","Pepe Jeans","24.95","modelo_frente_izquierda"
"13","https://amzn.to/4c5u2KY","https://m.media-amazon.com/images/I/41N1kuoNz+L._AC_SX679_.jpg","Camiseta deportiva","Pepe Jeans","24.95","modelo_frente_izquierda"
