"amazon_atuendo1_id","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/3RSTYSn","https://m.media-amazon.com/images/I/81YK4ydYHqL._AC_SY741_.jpg","Redbridge Vaqueros de Hombres Denim Ice Destruida Pantalones Moda Jeans","RED BRIDGE","50.41","*"
"2","https://amzn.to/4d7GHz7","https://m.media-amazon.com/images/I/61ujJVznWXL._AC_SY679_.jpg","JACK & JONES Jprblachad Branding Sweat Crew Neck Sn Sudadera para Hombre","JACK & JONES","31.99","*"
"3","https://amzn.to/44qNotL","https://images-eu.ssl-images-amazon.com/images/I/61qs9dvS+tL._AC_SR555,630,0,C_BR3_.jpg","Timex Men Analogue Watch with a Fabric Strap Navi","Timex","99.00","*"
"4","https://amzn.to/4d9F0Ba","https://images-eu.ssl-images-amazon.com/images/I/616PMry1vhL._AC_SR555,630,0,C_BR3_.jpg","adidas VL Court 3.0 Shoes, Zapatillas Hombre","adidas","60.00","*"
"5","https://amzn.to/4m8FThn","https://images-eu.ssl-images-amazon.com/images/I/81dhx6hRbCL._AC_SR555,630,0,C_BR3_.jpg","Timberland - Cartera para Hombre","Timberland","22.32","*"
"6","https://amzn.to/4lTSJjC","https://images-eu.ssl-images-amazon.com/images/I/41jJjLahRvL._AC_UL165_SR165,165_.jpg","Litthing Pantalones de Lino para Hombre Pantalon de Jogging Algodón Pants Casuales de Verano con Bolsillos Pantalones Holgados con Cordón Pantalon Cómodos y Ligeros","Litthing","23.99","*"
"7","https://amzn.to/42F9DcE","https://images-eu.ssl-images-amazon.com/images/I/61BseMdxjBL._AC_UL100_SR100,100_.jpg","URBAN CLASSICS Camiseta básica de manga corta, cuello redondo normal, de algodón grueso, largo normal, oversized, de hombre, moderna, en distintos colores, tallas S - 5XL","Urban Classics","17.99","*"
"8","https://amzn.to/3YQO2gl","https://m.media-amazon.com/images/I/71NAfO7zbjL._AC_SX569_.jpg","JACK & JONES Jprblubrook Jacket Pls Página de transición para Hombre","JACK & JONES","36.81","*"
"9","https://amzn.to/4lTT45S","https://images-eu.ssl-images-amazon.com/images/I/51wtZTJTRJL._AC_UL100_SR100,100_.jpg","Pepe Jeans Badge Monedero con Tarjetero Marrón 11x7x1,5 cms Piel","Pepe Jeans","25","*"
"10","https://amzn.to/4jMDszH","https://images-eu.ssl-images-amazon.com/images/I/41yB3HYZewL._AC_UL100_SR100,100_.jpg","adidas Advantage 2.0 Shoes, Zapatillas de Deporte Hombre","adidas","64.15","*"
