"id","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/4lKqH9H","https://m.media-amazon.com/images/I/810LH4euepL._AC_SY879_.jpg","Camisas Aloha Hawaiana Funky de Manga","HISDERN","25.99","izquierda"
"2","https://amzn.to/416BAdq","https://m.media-amazon.com/images/I/816qB6KGyLL._AC_SX679_.jpg","Camisa Hawaiana Hombre Manga Corta","Enlision","25.99","izquierda"
"3","https://amzn.to/3IFDfAy","https://m.media-amazon.com/images/I/71L5TegQkWL._AC_SX569_.jpg","Suwangi Hombre Hawaiana Camisa de Verano","Suwangi","20.99","izquierda"
"4","https://amzn.to/3TT05XG","https://m.media-amazon.com/images/I/81tTra907EL._AC_SX679_.jpg","Enlision Camisa Hawaiana Hombre","Enlision","25.99","izquierda"
"5","https://amzn.to/4mbSgIQ","https://m.media-amazon.com/images/I/81qk0wcqsHL._AC_SY741_.jpg","APTRO Camisa Hawaiana Hombre","APTRO","25.99","derecha"
"6","https://amzn.to/41aELRp","https://m.media-amazon.com/images/I/61PnxSn3nOL._AC_SY741_.jpg","Enlision Camisa Hawaiana Hombre","Enlision","23.99","izquierda"
"7","https://amzn.to/4okk13V","https://m.media-amazon.com/images/I/81pQPMDDXlL._AC_SX679_.jpg","Enlision Camisa Hawaiana Hombre Manga Corta","CEDY DENIM","42.90","derecha"
"8","https://amzn.to/452wiRF","https://m.media-amazon.com/images/I/814AYkTA7TL._AC_SY879_.jpg","HISDERN Camisas Aloha Hawaiana","HISDERN","26.99","izquierda"
"9","https://amzn.to/46kqk0J","https://m.media-amazon.com/images/I/81vifK5caHL._AC_SX569_.jpg","Danfiki Camisa Hawaiana Hombre","Danfiki","21.99","derecha"
"10","https://amzn.to/3TVFr9p","https://m.media-amazon.com/images/I/810bWrGwYAL._AC_SY741_.jpg","APTRO Camisa Hawaiana Hombre Camisas","APTRO","0.00","derecha"
"11","https://amzn.to/4mtaG8b","https://m.media-amazon.com/images/I/81g7POIIdAL._AC_SX569_.jpg","Danfiki Camisa Hawaiana Hombre","Danfiki","21.99","derecha"
