nombre,slug,imagen,alt,fuente,web_imagen,desc
"Asador La Perla","asador-la-perla","vista-exterior-asador-la-perla-castro-urdiales.jpg","Asador La Perla en Castro Urdiales","gastroranking.es","https://gastroranking.es/r/asador-perla-2_290711/","Restaurante tradicional especializado en pescados y mariscos frescos con vistas al mar."
"Castillo de Santa Ana","castillo-de-santa-ana","castillo-de-santa-ana-castro-urdiales-cantabria-1.jpg","Castillo de Santa Ana en Castro Urdiales","turismodecantabria.com","https://turismodecantabria.com","Fortaleza medieval situada junto al faro, con vistas panorámicas a la costa."
"Club Náutico","club-nautico","club-nautico-castro-urdiales-cantabria-1.jpg","Club Náutico de Castro Urdiales","clubnauticocastro.com","https://clubnauticocastro.com","Centro de actividades náuticas y deportivas junto al puerto."
"Iglesia de Santa María de la Asunción","iglesia-santa-maria-de-la-asuncion","iglesia-santa-maria-de-la-asuncion-castro-urdiales-cantabria-1.jpg","Iglesia gótica de Santa María de Castro Urdiales","turismodecantabria.com","https://turismodecantabria.com","Imponente iglesia gótica del siglo XIII declarada Monumento Nacional."
"Mirador de Cotolino","mirador-de-cotolino","mirador-de-cotolino-castro-urdiales-cantabria-1.jpg","Vistas desde el Mirador de Cotolino en Castro Urdiales","planesparafamilias.com","https://planesparafamilias.com/parque-cotolino-en-castro-urdiales/","Un mirador con espectaculares vistas al mar Cantábrico y a la costa de Castro-Urdiales."
"Palacio de Ocharán","palacio-de-ocharan","palacio-de-ocharan-castro-urdiales-cantabria-1.jpg","Palacio de Ocharán en Castro Urdiales","castro-urdiales.net","https://www.castro-urdiales.net","Edificio modernista rodeado de jardines, visible desde la carretera de acceso."
"Parque Amestoy","parque-amestoy","parque-amestoy-castro-urdiales-cantabria-1.jpg","Parque Amestoy en Castro Urdiales","castro-urdiales.net","https://www.castro-urdiales.net","Zona verde frente al mar ideal para pasear y relajarse."
"Paseo Marítimo","paseo-maritimo","paseo-maritimo-castro-urdiales-cantabria-1.jpg","Paseo Marítimo de Castro Urdiales","castro-urdiales.net","https://www.castro-urdiales.net","Agradable recorrido junto al mar con vistas a la bahía."
"Playa de Brazomar","playa-de-brazomar","playa-de-brazomar-castro-urdiales-cantabria-1.jpg","Playa de Brazomar en Castro Urdiales","castro-urdiales.net","https://www.castro-urdiales.net","Playa urbana y familiar, con paseo marítimo, fácil acceso y todos los servicios."
"Playa de Ostende","playa-de-ostende","playa-de-ostende-castro-urdiales-cantabria-1.jpg","Playa de Ostende en Castro Urdiales","turismodecantabria.com","https://turismodecantabria.com","Playa urbana de arena dorada, ideal para familias y deportes acuáticos."
"El Pedregal","playa-el-pedregal","playa-el-pedregal-castro-urdiales-cantabria-1.jpg","Zona El Pedregal en Castro Urdiales","castro-urdiales.net","https://www.castro-urdiales.net","Pequeña cala rocosa ideal para el baño y la pesca."
"Plaza del Ayuntamiento","plaza-del-ayuntamiento","plaza-del-ayuntamiento-castro-urdiales-cantabria-1.jpg","Plaza del Ayuntamiento de Castro Urdiales","castro-urdiales.net","https://www.castro-urdiales.net","Plaza céntrica rodeada de bares, restaurantes y edificios históricos."
"Puente Medieval","puente-medieval","puente-medieval-castro-urdiales-cantabria-1.jpg","Puente Medieval de Castro Urdiales","turismodecantabria.com","https://turismodecantabria.com","Antiguo puente de piedra que conecta la zona del puerto con el castillo."
"Puerto de Castro Urdiales","puerto-pesquero","puerto-pesquero-castro-urdiales-cantabria-1.jpg","Puerto pesquero de Castro Urdiales","castro-urdiales.net","https://www.castro-urdiales.net","Puerto tradicional con actividad pesquera y ambiente marinero."
